created_at,id,id_str,full_text,truncated,display_text_range,entities,metadata,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,quoted_status_id,quoted_status_id_str,quoted_status,text,favorited_by,scopes,display_text_width,retweeted_status,quoted_status_permalink,quote_count,timestamp_ms,reply_count,filter_level,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2022-11-11T21:00:00Z,159124941990665e4,1591249419906650113,".@Highway_30 ""He knows Nike is a running dog for the CCP, he knows that communism as a political ideology is at the helm of much of the oppression that has gone on... and he’s ok with it as long as he gets to sit on a fake throne with a fake crown.” #LeBron https://t.co/AyOcuNh5Bq",FALSE,257,,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,256,1149,FALSE,FALSE,FALSE,en,NA,NA,,".@Highway_30 ""He knows Nike is a running dog for the CCP, he knows that communism as a political ideology is at the helm of much of the oppression that has gone on... and he’s ok with it as long as he gets to sit on a fake throne with a fake crown.” #LeBron https://t.co/AyOcuNh5Bq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-12T12:53:07Z,1591489279087505400,1591489279087505409,"Great night last night hanging with these legends…

#MickJagger  #HOV  #Lebron https://t.co/OS357JcRFu",FALSE,78,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,17,416,FALSE,FALSE,FALSE,en,NA,NA,,"Great night last night hanging with these legends…

#MickJagger  #HOV  #Lebron https://t.co/OS357JcRFu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-16T13:33:03Z,1592948882547572700,1592948882547572736,"New York Yankees Adding Pitcher Randy Vasquez To Their 40-Man Roaster! 
https://t.co/Nhhq5ePtq7 
 #LakersNation #lakerswin #lakers #NBA #NBA2K22 #NBA2K22 #NBATwitter #NBAextra #ESPN #NBAEasternConference #LeBronJames #lebron",FALSE,224,,,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,"New York Yankees Adding Pitcher Randy Vasquez To Their 40-Man Roaster! 
https://t.co/Nhhq5ePtq7 
 #LakersNation #lakerswin #lakers #NBA #NBA2K22 #NBA2K22 #NBATwitter #NBAextra #ESPN #NBAEasternConference #LeBronJames #lebron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-16T13:32:21Z,1592948705350471700,1592948705350471680,"Lakers’ Race For Myles Turner To Turn Competetive As Clippers Ready To BUY Him Out 
https://t.co/lp9dsmXRKQ 
 #LakersNation #lakerswin #lakers #NBA #NBA2K22 #NBA2K22 #NBATwitter #NBAextra #ESPN #NBAEasternConference #LeBronJames #lebron https://t.co/EPsQRcTJ6R",FALSE,236,,,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,"Lakers’ Race For Myles Turner To Turn Competetive As Clippers Ready To BUY Him Out 
https://t.co/lp9dsmXRKQ 
 #LakersNation #lakerswin #lakers #NBA #NBA2K22 #NBA2K22 #NBATwitter #NBAextra #ESPN #NBAEasternConference #LeBronJames #lebron https://t.co/EPsQRcTJ6R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-16T13:30:59Z,1592948361153446e3,1592948361153445889,"Lakers’ Coach Darvin Ham Discuss About Joy Of Coaching Anthony Davis! Not Trading The Brow Anymore 
https://t.co/LLsGkwp3ys 
 #LakersNation #lakerswin #lakers #NBA #NBA2K22 #NBA2K22 #NBATwitter #NBAextra #ESPN #NBAEasternConference #LeBronJames #lebron https://t.co/ymgJjMDr4h",FALSE,252,,,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,"Lakers’ Coach Darvin Ham Discuss About Joy Of Coaching Anthony Davis! Not Trading The Brow Anymore 
https://t.co/LLsGkwp3ys 
 #LakersNation #lakerswin #lakers #NBA #NBA2K22 #NBA2K22 #NBATwitter #NBAextra #ESPN #NBAEasternConference #LeBronJames #lebron https://t.co/ymgJjMDr4h",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-16T13:30:09Z,1592948153459921e3,1592948153459920901,"Lakers Officially Trading Anthony Davis For Victor Wembanyama?
https://t.co/M52Mdtqimu 
 #LakersNation #lakerswin #lakers #NBA #NBA2K22 #NBA2K22 #NBATwitter #NBAextra #ESPN #NBAEasternConference #LeBronJames #lebron https://t.co/KrDIe4IeOd",FALSE,215,,,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,"Lakers Officially Trading Anthony Davis For Victor Wembanyama?
https://t.co/M52Mdtqimu 
 #LakersNation #lakerswin #lakers #NBA #NBA2K22 #NBA2K22 #NBATwitter #NBAextra #ESPN #NBAEasternConference #LeBronJames #lebron https://t.co/KrDIe4IeOd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-16T13:29:13Z,1592947917278560300,1592947917278560257,"“He’s Low-Key Known For Flopping” Former NBA Players Criticize LeBron James For Flopping Comment 
https://t.co/H5vYxCQuXv
 #LakersNation #lakerswin #lakers #NBA #NBA2K22 #NBA2K22 #NBATwitter #NBAextra #ESPN #NBAEasternConference #LeBronJames #lebron https://t.co/u0OQS7tY4N",FALSE,249,,,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,"“He’s Low-Key Known For Flopping” Former NBA Players Criticize LeBron James For Flopping Comment 
https://t.co/H5vYxCQuXv
 #LakersNation #lakerswin #lakers #NBA #NBA2K22 #NBA2K22 #NBATwitter #NBAextra #ESPN #NBAEasternConference #LeBronJames #lebron https://t.co/u0OQS7tY4N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-16T13:28:32Z,1592947743500415e3,1592947743500414976,"LeBron James Is a Lying Piece Of S**t,” Twitter Frenzied With Lying James’ Memes 
https://t.co/T69KlQTfaR 
 #LakersNation #lakerswin #lakers #NBA #NBA2K22 #NBA2K22 #NBATwitter #NBAextra #ESPN #NBAEasternConference #LeBronJames #lebron https://t.co/N0AglrAeMn",FALSE,234,,,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,"LeBron James Is a Lying Piece Of S**t,” Twitter Frenzied With Lying James’ Memes 
https://t.co/T69KlQTfaR 
 #LakersNation #lakerswin #lakers #NBA #NBA2K22 #NBA2K22 #NBATwitter #NBAextra #ESPN #NBAEasternConference #LeBronJames #lebron https://t.co/N0AglrAeMn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-16T12:11:06Z,1592928256835346400,1592928256835346432,The sheer ENERGY 🌟 #bronny #dunk #basketball #lebron #team https://t.co/7Fiel3Clv8,FALSE,58,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,1,FALSE,FALSE,FALSE,en,NA,NA,,The sheer ENERGY 🌟 #bronny #dunk #basketball #lebron #team https://t.co/7Fiel3Clv8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-16T11:57:15Z,1592924771234513e3,1592924771234512896,"Impressive game from @AnthonySelden finishes with 21 points and four rebounds against North Carolina Tarheels

#nba #basketball #anthonyselden #sports #Northcarolina #tarheels #ballislife #mlb #nbabasketball #nike #lebron #nbaplayoffs #jordan #sport #nbanews #nbamemes https://t.co/5IcEJoV677",FALSE,268,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,3,4,FALSE,FALSE,TRUE,en,NA,NA,,"Impressive game from @AnthonySelden finishes with 21 points and four rebounds against North Carolina Tarheels

#nba #basketball #anthonyselden #sports #Northcarolina #tarheels #ballislife #mlb #nbabasketball #nike #lebron #nbaplayoffs #jordan #sport #nbanews #nbamemes https://t.co/5IcEJoV677",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
